edition_key,number_of_pages,physical_format,physical_dimensions,weight,language
OL9744160M,288,Paperback,,,eng
OL24939124M,188,,,,eng
OL22618271M,189,,,,eng
OL17433641M,190,,,,eng
OL9749628M,190,Paperback,,,eng
OL22166304M,187,,,,eng
OL22593817M,187,,,,eng
OL10738735M,187,Paperback,,,eng
OL14977710M,188,,,,eng
OL30600896M,336,paperback,,,
OL22619243M,190,,,,eng
OL28973771M,186,,,,eng
OL29127329M,220,,,,eng
OL24967698M,187,,,,eng
OL10280582M,192,Paperback,,,
OL14977156M,187,,,,eng
OL10746962M,304,Paperback,6.8 x 3.8 x 0.8 inches,4 ounces,eng
OL10691234M,189,Paperback,,,eng
OL22612896M,188,,,,eng
OL20130268M,219,,,,eng
OL10239517M,288,Hardcover,8.5 x 5.8 x 1 inches,14.4 ounces,eng
OL17125057M,192,,,,eng
OL9750265M,304,Hardcover,8.8 x 5.5 x 0.8 inches,15.2 ounces,eng
OL9749331M,304,Hardcover,8.8 x 5.5 x 0.8 inches,15.2 ounces,eng
OL9746549M,,Paperback,,,eng
OL9676949M,192,Mass Market Paperback,6.6 x 4.1 x 0.6 inches,3.2 ounces,eng
OL24251009M,,Electronic resource,,,eng
OL7416546M,160,,,,spa
OL1982402M,188,,,,eng
OL22415407M,285,,,,eng
OL24951976M,190,,,,eng
OL9746982M,190,Paperback,,,eng
OL9747240M,384,Paperback,,,eng
OL9749920M,384,Paperback,,,
OL1612903M,187,,,,eng
OL48206819M,,,,,eng
OL9615644M,188,Paperback,,,eng
OL14977254M,190,,,,eng
OL29249952M,336,,,,eng
OL27184908M,671,,,,eng
OL9587185M,240,Paperback,,,eng
OL9566454M,235,Paperback,,,eng
OL18361887M,190,,,,eng
OL9740569M,250,Paperback,8.5 x 5.5 x 0.6 inches,9.6 ounces,eng
OL29053848M,288,,,,eng
OL28973668M,189,,,,eng
OL14978632M,189,,,,eng
OL16522168M,192,,,,eng
OL21220907M,190,,,,eng
OL10280988M,192,Paperback,,,
OL29243038M,224,,,,eng
OL22384649M,187,,,,und
OL1882868M,252,,,,eng
OL9507637M,187,Mass Market Paperback,,,eng
OL32132143M,,,,,eng
OL9745567M,192,Paperback,,,
OL37388997M,,,,,eng
OL29263659M,250,,,,eng
OL9747915M,,Hardcover,8.5 x 5.9 x 0.9 inches,13.6 ounces,eng
OL9750627M,,Hardcover,8.5 x 5.9 x 0.9 inches,13.6 ounces,eng
OL9745793M,,Hardcover,8.5 x 5.9 x 0.9 inches,13.6 ounces,eng
OL9739060M,188,Paperback,6.8 x 4.2 x 0.5 inches,3.2 ounces,eng
OL10239188M,288,Hardcover,,,
OL10691730M,187,Paperback,,,eng
OL21259238M,,,,,fin
OL21376204M,,,,,dut
OL21911056M,,,,,nor
OL9747177M,191,Paperback,,,eng
OL9749853M,191,Paperback,,,eng
OL53340128M,624,,,,eng
OL50524432M,,,,,ger
OL46776502M,,,,,eng
OL30786654M,608,paperback,,,
OL31853818M,592,paperback,,,
OL10691226M,,Paperback,,,eng
OL10738185M,187,Paperback,,,eng
OL14977564M,186,,,,eng
OL14982026M,189,,,,eng
OL10280691M,192,Paperback,,,
OL29734595M,192,,,,eng
OL9750450M,192,Paperback,,,
OL9747758M,192,Paperback,,,
OL9749741M,288,Hardcover,8.8 x 5.8 x 1 inches,14.4 ounces,eng
OL9737071M,,Paperback,6.8 x 4.2 x 0.5 inches,3.2 ounces,eng
OL38278522M,,,,,eng
OL31882114M,285,,,,eng
OL28950684M,188,,,,eng
OL24929928M,285,,,,eng
OL21626274M,,,,,spa
OL28973807M,191,Hardcover,,,eng
OL9745124M,191,Paperback,,,eng
OL14977691M,191,Paperback,,,eng
OL46535310M,592,paperback,,,spa
OL42788780M,,,,,eng
OL37077814M,606,paperback,,,
OL27180374M,706,,,,fre
