edition_key,work_key,title,subtitle,edition_name
OL9865144M,OL3498613W,Mistress By Arrangement  (Presents Passion),,
OL29151686M,OL3498613W,Mistress by Arrangement,,
OL10739841M,OL8315270W,Borrowed Wife,,
OL10240674M,OL8315270W,Borrowed Wife,,Lrg edition
OL10692034M,OL8315270W,Borrowed Wife,,
OL37926139M,OL20734329W,La novela del verano,,
OL51135803M,OL20734329W,Beach Read,Deluxe Edition,
OL38790132M,OL20734329W,Beach Read,"Two writers, one holiday. A romcom waiting to happen...",
OL31842399M,OL20734329W,Beach Read,,
OL29832788M,OL20734329W,Beach Read,,
OL23031680M,OL15659W,Tou xin de xing ji zhan shi,,Chu ban
OL2536812M,OL810243W,Lost lady,,[Large print]
OL22325319M,OL810243W,Lost lady.,,
OL14980172M,OL11327425W,Prisoner in paradise.,,
OL46528670M,OL24457490W,"Hallo, met Sam",,
OL24284570M,OL14862472W,Show Me,,
OL17881366M,OL14862472W,Show me,,Large print ed.
OL14976509M,OL11327725W,The devil at Archangel,,
OL29106562M,OL3759044W,Christmas Eve Wedding,,
OL24272207M,OL3759044W,Christmas Eve Wedding,,
OL45322187M,OL27244347W,Forever After All,A Billionaire Marriage of Convenience Novel,
OL36975668M,OL27244347W,Forever after All,Large Print,
OL8242317M,OL5682990W,The Perfect Wife,,
OL9510660M,OL3457907W,Three for a Wedding,,Large Print Edition
OL10690629M,OL3457907W,Three for a Wedding,,1st Printing edition
OL14975737M,OL3457907W,Three for a Wedding,,
OL22276490M,OL3457907W,Three for a Wedding,,Large Print Edition
OL7888935M,OL3457907W,Three for a Wedding,,
OL28951672M,OL3498613W,Mistress by Arrangement,,
OL18698197M,OL3498613W,Mistress by arrangement,,
OL9575855M,OL3498613W,Mistress by Arrangement,,Largeprint edition
OL43577331M,OL8315270W,Borrowed Wife,,
OL17310594M,OL3770380W,Cage of ice.,,
OL10738482M,OL3770380W,Cage Of Ice,,
OL10738730M,OL3476058W,No Guarantees,,
OL32152283M,OL13693163W,Virgin for the billionaire's taking,,
OL29107005M,OL13693163W,Virgin for the Billionaire's Taking,,
OL23189300M,OL13693163W,Virgin for the billionaire's taking,,
OL24267084M,OL13693163W,Virgin for the Billionaire's Taking,,
OL38368095M,OL3771308W,The Japanese Screen,,
OL38290062M,OL3771308W,The Japanese Screen,,
OL29247927M,OL3771308W,The Japanese Screen,,
OL10238850M,OL3771308W,The Japanese Screen,,
OL14978502M,OL11327973W,Substitute Lover,,
OL9528713M,OL11327207W,A Woman In Love,,
OL2386722M,OL11327207W,A woman in love,,
OL9747101M,OL11762248W,Out of Nowhere,,
OL9745069M,OL11762248W,Out of Nowhere,,
OL16826441M,OL11762248W,Me ta hromata tis agapis.,,
OL34432616M,OL15178385W,"Greek Tycoon, Inexperienced Mistress",,
OL35123120M,OL111457W,"La croix de Morrigan, t. 1",,
OL29829915M,OL111457W,Morrigan's Cross,,
OL8493807M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Unabridged edition
OL8493810M,OL111457W,"Morrigan's Cross (The Circle Trilogy, Book 1)",,Com/MP3 edition
OL29472000M,OL1822307W,Lace for Milady,,Large print ed.
OL29577511M,OL3457857W,Roses and Champagne,,
OL28973623M,OL3457857W,Roses and Champagne,,
OL9453485M,OL3457857W,Roses and Champagne,,
OL10738959M,OL3498726W,An Unusual Affair,,
OL1610742M,OL3476058W,No Guarantees,,
OL29018323M,OL13693163W,Virgin for the Billionaire's Taking,,
OL10239679M,OL2959257W,Mistress of Pillatoro (Large Print Classics),,Large Print Ed edition
OL10738578M,OL2959257W,Mistress of Pillatoro,,
OL37828366M,OL3771308W,L'orage andalou,,
OL10737974M,OL3771308W,The Japanese Screen,,
OL29264483M,OL11327973W,Substitute Lover,,
